Temperature (°C),Humidity (%),Wind Speed (mph),Precipitation (%),Cloud Cover,Atmospheric Pressure (hPa),UV Index,Season,Visibility (km),Location,Weather Type
3.0,92,3.5,70.0,Overcast,991.08,1,Winter,4.0,Inland,Snowy
3.0,93,5.0,81.0,Overcast,983.51,1,Winter,2.5,Inland,Snowy
2.0,77,4.5,75.0,Partly cloudy,986.27,0,Winter,3.5,Mountain,Snowy
1.0,78,6.0,69.0,Overcast,987.74,1,Winter,4.0,Mountain,Snowy
3.0,86,14.0,92.0,Overcast,996.03,1,Winter,1.0,Mountain,Snowy
3.0,73,9.5,59.0,Overcast,983.56,0,Winter,2.5,Inland,Snowy
2.0,33,5.0,40.0,Cloudy,976.67,1,Summer,4.0,Coastal,Snowy
2.0,65,16.5,51.0,Overcast,993.38,0,Winter,4.0,Inland,Snowy
1.0,79,17.0,78.0,Overcast,996.33,0,Winter,2.0,Mountain,Snowy
2.0,91,9.0,70.0,Overcast,992.12,1,Winter,2.5,Mountain,Snowy
3.0,80,5.5,95.0,Overcast,994.15,0,Winter,3.0,Inland,Snowy
3.0,68,7.5,59.0,Overcast,980.85,0,Winter,3.5,Inland,Snowy
2.0,90,9.0,96.0,Overcast,994.9,6,Winter,2.0,Mountain,Snowy
2.0,73,7.5,65.0,Partly cloudy,993.68,0,Winter,2.0,Mountain,Snowy
2.0,69,1.0,50.0,Overcast,992.9,0,Winter,4.5,Inland,Snowy
3.0,106,9.0,73.0,Overcast,985.34,8,Winter,0.5,Inland,Snowy
3.0,98,5.0,76.0,Overcast,989.53,0,Winter,4.5,Inland,Snowy
3.0,74,12.0,62.0,Partly cloudy,991.37,1,Winter,3.0,Inland,Snowy
1.0,80,0.0,71.0,Overcast,995.74,1,Winter,5.0,Inland,Snowy
1.0,72,13.0,51.0,Partly cloudy,987.53,0,Winter,3.0,Inland,Snowy
1.0,76,1.5,79.0,Overcast,983.45,0,Winter,2.5,Inland,Snowy
1.0,66,11.0,52.0,Overcast,997.99,0,Winter,4.0,Inland,Snowy
2.0,82,16.0,63.0,Overcast,994.84,1,Winter,4.5,Mountain,Snowy
3.0,74,10.0,95.0,Overcast,997.24,1,Winter,4.5,Mountain,Snowy
3.0,82,1.5,86.0,Overcast,991.81,0,Winter,3.5,Mountain,Snowy
1.0,86,0.0,65.0,Overcast,985.11,0,Winter,3.0,Inland,Snowy
3.0,93,0.5,96.0,Overcast,993.61,1,Winter,4.5,Inland,Snowy
3.0,74,7.0,69.0,Overcast,993.96,0,Winter,4.5,Mountain,Snowy
1.0,45,4.5,36.0,Cloudy,1033.81,10,Autumn,2.5,Mountain,Cloudy
1.0,86,1.5,95.0,Overcast,995.37,1,Winter,5.0,Inland,Snowy
2.0,82,7.0,98.0,Overcast,996.01,0,Winter,1.5,Inland,Snowy
1.0,92,1.0,90.0,Overcast,987.02,1,Winter,4.5,Inland,Snowy
2.0,73,6.0,58.0,Overcast,985.32,0,Winter,2.5,Mountain,Snowy
3.0,64,1.0,53.0,Overcast,990.51,1,Winter,3.0,Inland,Snowy
2.0,91,25.0,91.0,Partly cloudy,989.58,13,Winter,0.5,Mountain,Snowy
2.0,94,9.0,75.0,Overcast,996.06,1,Winter,2.0,Mountain,Snowy
2.0,87,15.0,70.0,Overcast,992.46,0,Winter,2.5,Mountain,Snowy
2.0,78,11.0,65.0,Overcast,998.54,0,Winter,4.5,Mountain,Snowy
2.0,92,16.5,53.0,Partly cloudy,987.92,1,Winter,1.5,Mountain,Snowy
1.0,85,8.0,96.0,Overcast,990.21,0,Winter,4.5,Inland,Snowy
1.0,64,2.0,61.0,Overcast,982.34,1,Winter,4.5,Mountain,Snowy
3.0,66,2.5,54.0,Partly cloudy,983.49,0,Winter,4.0,Mountain,Snowy
1.0,87,5.5,66.0,Overcast,983.9,1,Winter,2.0,Inland,Snowy
1.0,71,11.0,66.0,Overcast,990.72,1,Winter,2.0,Inland,Snowy
1.0,70,3.5,62.0,Overcast,986.83,1,Winter,4.5,Mountain,Snowy
2.0,78,1.0,63.0,Overcast,985.11,0,Winter,1.0,Inland,Snowy
1.0,40,13.5,68.0,Cloudy,1035.1,0,Summer,10.5,Coastal,Rainy
1.0,94,7.0,96.0,Overcast,998.51,1,Winter,1.5,Mountain,Snowy
1.0,99,0.5,84.0,Partly cloudy,980.34,0,Winter,1.0,Mountain,Snowy
2.0,74,19.0,56.0,Overcast,980.76,0,Winter,3.5,Mountain,Snowy
1.0,63,18.5,90.0,Partly cloudy,987.72,0,Winter,2.5,Mountain,Snowy
3.0,91,16.0,88.0,Overcast,981.77,0,Winter,2.5,Mountain,Snowy
2.0,80,3.5,63.0,Overcast,983.09,1,Winter,5.0,Mountain,Snowy
1.0,70,18.5,89.0,Overcast,982.84,1,Winter,2.5,Inland,Snowy
1.0,95,2.5,83.0,Overcast,997.12,0,Winter,1.5,Inland,Snowy
3.0,95,11.5,85.0,Overcast,982.49,1,Winter,1.5,Mountain,Snowy
3.0,90,10.0,88.0,Overcast,999.86,0,Winter,5.0,Mountain,Snowy
2.0,86,13.5,72.0,Partly cloudy,983.74,13,Winter,3.0,Inland,Snowy
2.0,60,5.0,60.0,Overcast,990.59,0,Winter,4.5,Inland,Snowy
2.0,75,7.5,99.0,Overcast,997.93,7,Winter,3.0,Mountain,Snowy
3.0,64,2.5,78.0,Overcast,989.12,1,Winter,2.0,Inland,Snowy
3.0,68,6.0,82.0,Overcast,988.65,0,Winter,4.0,Mountain,Snowy
1.0,95,9.5,75.0,Overcast,988.27,1,Winter,5.0,Inland,Snowy
1.0,80,12.0,67.0,Overcast,980.94,0,Winter,4.5,Inland,Snowy
2.0,61,19.5,85.0,Overcast,996.86,1,Winter,3.0,Inland,Snowy
3.0,72,15.5,96.0,Partly cloudy,997.0,0,Winter,2.5,Mountain,Snowy
1.0,69,15.0,99.0,Overcast,997.52,0,Winter,4.5,Mountain,Snowy
1.0,98,19.0,54.0,Overcast,997.26,0,Winter,2.5,Inland,Snowy
2.0,71,10.0,59.0,Overcast,997.45,0,Winter,2.5,Mountain,Snowy
3.0,98,5.0,62.0,Overcast,983.69,0,Winter,3.5,Mountain,Snowy
1.0,84,8.0,59.0,Partly cloudy,987.23,0,Winter,3.5,Inland,Snowy
1.0,78,6.0,58.0,Overcast,989.11,1,Winter,4.5,Inland,Snowy
3.0,64,0.0,96.0,Overcast,989.42,0,Winter,2.0,Inland,Snowy
1.0,76,7.0,56.0,Partly cloudy,988.76,1,Winter,3.5,Mountain,Snowy
2.0,73,1.5,69.0,Overcast,989.31,1,Winter,4.0,Mountain,Snowy
3.0,63,15.0,52.0,Overcast,988.89,0,Winter,3.0,Inland,Snowy
2.0,71,1.0,52.0,Partly cloudy,996.33,0,Winter,2.5,Mountain,Snowy
1.0,94,15.0,88.0,Overcast,986.81,1,Winter,5.0,Mountain,Snowy
2.0,100,15.0,70.0,Overcast,991.86,0,Winter,6.5,Inland,Snowy
1.0,66,9.0,88.0,Overcast,985.45,1,Winter,2.0,Inland,Snowy
1.0,105,25.0,78.0,Partly cloudy,991.37,2,Winter,0.5,Mountain,Snowy
2.0,67,16.0,59.0,Overcast,996.25,0,Winter,1.5,Mountain,Snowy
2.0,82,18.5,73.0,Partly cloudy,992.97,0,Winter,3.5,Inland,Snowy
3.0,94,6.0,67.0,Partly cloudy,987.69,1,Winter,3.5,Mountain,Snowy
3.0,66,19.0,63.0,Overcast,980.62,0,Winter,2.0,Inland,Snowy
3.0,66,13.0,91.0,Partly cloudy,995.95,1,Winter,1.0,Inland,Snowy
3.0,99,11.5,63.0,Overcast,984.14,0,Winter,4.5,Inland,Snowy
1.0,66,5.5,90.0,Overcast,982.19,1,Winter,3.0,Inland,Snowy
3.0,93,4.5,76.0,Overcast,985.35,1,Winter,1.5,Mountain,Snowy
2.0,67,16.5,59.0,Partly cloudy,987.68,1,Winter,3.5,Mountain,Snowy
1.0,64,6.5,63.0,Overcast,993.53,1,Winter,3.5,Inland,Snowy
3.0,84,7.5,77.0,Overcast,994.65,0,Winter,4.0,Inland,Snowy
1.0,69,5.5,67.0,Overcast,989.06,1,Winter,5.0,Mountain,Snowy
2.0,94,8.0,95.0,Partly cloudy,998.23,0,Winter,4.5,Inland,Snowy
3.0,62,18.5,90.0,Overcast,996.67,0,Winter,2.5,Mountain,Snowy
1.0,67,8.5,66.0,Overcast,981.11,1,Winter,3.0,Inland,Snowy
2.0,99,1.0,74.0,Overcast,996.8,0,Winter,2.0,Inland,Snowy
2.0,64,7.5,87.0,Partly cloudy,990.1,0,Winter,2.0,Mountain,Snowy
3.0,77,10.0,64.0,Partly cloudy,980.24,0,Winter,4.5,Mountain,Snowy
1.0,96,17.5,70.0,Overcast,988.72,7,Winter,1.5,Mountain,Snowy
3.0,88,7.0,51.0,Partly cloudy,997.09,1,Winter,1.5,Mountain,Snowy
3.0,62,7.0,58.0,Overcast,991.27,0,Winter,1.5,Inland,Snowy
2.0,68,7.0,52.0,Overcast,984.66,0,Winter,4.0,Inland,Snowy
3.0,84,7.5,57.0,Overcast,984.74,1,Winter,3.0,Mountain,Snowy
2.0,78,5.5,71.0,Partly cloudy,991.85,0,Winter,3.5,Inland,Snowy
2.0,92,6.5,67.0,Overcast,992.05,0,Winter,1.5,Mountain,Snowy
3.0,66,16.0,62.0,Partly cloudy,997.97,1,Winter,3.5,Inland,Snowy
1.0,72,2.5,75.0,Overcast,992.94,0,Winter,4.5,Inland,Snowy
2.0,96,15.0,65.0,Overcast,985.89,1,Winter,5.0,Mountain,Snowy
1.0,62,5.0,56.0,Partly cloudy,983.99,1,Winter,4.0,Mountain,Snowy
1.0,60,1.5,83.0,Overcast,984.01,0,Winter,3.5,Inland,Snowy
2.0,72,4.5,92.0,Overcast,992.07,1,Winter,2.5,Mountain,Snowy
2.0,71,4.5,106.0,Partly cloudy,981.01,4,Winter,5.0,Mountain,Snowy
2.0,92,1.0,60.0,Overcast,999.13,0,Winter,3.0,Mountain,Snowy
2.0,87,19.0,62.0,Overcast,981.13,0,Winter,3.5,Mountain,Snowy
3.0,81,4.0,96.0,Overcast,998.11,3,Winter,1.5,Mountain,Snowy
3.0,63,13.0,35.0,Partly cloudy,997.65,9,Summer,9.0,Mountain,Snowy
1.0,89,5.0,93.0,Partly cloudy,997.29,0,Winter,4.5,Inland,Snowy
3.0,93,12.5,99.0,Overcast,999.62,0,Winter,1.0,Inland,Snowy
3.0,97,14.0,83.0,Overcast,983.19,0,Winter,3.5,Inland,Snowy
2.0,98,13.5,54.0,Partly cloudy,990.51,1,Winter,4.0,Inland,Snowy
3.0,75,18.0,99.0,Overcast,994.62,1,Winter,1.0,Inland,Snowy
1.0,86,19.5,77.0,Overcast,996.1,1,Winter,5.0,Mountain,Snowy
3.0,72,12.5,61.0,Overcast,985.08,0,Winter,1.5,Inland,Snowy
2.0,89,0.0,80.0,Overcast,985.58,1,Winter,4.5,Mountain,Snowy
3.0,98,13.0,95.0,Overcast,986.23,0,Winter,2.0,Inland,Snowy
1.0,98,9.0,64.0,Overcast,990.09,1,Winter,3.0,Inland,Snowy
2.0,76,17.0,58.0,Overcast,981.82,0,Winter,3.0,Inland,Snowy
3.0,65,4.5,60.0,Partly cloudy,982.41,0,Winter,4.0,Mountain,Snowy
2.0,91,4.5,50.0,Overcast,992.8,0,Winter,3.5,Inland,Snowy
1.0,85,8.5,73.0,Overcast,986.96,1,Winter,2.0,Mountain,Snowy
2.0,75,7.5,105.0,Overcast,986.74,10,Winter,1.0,Mountain,Snowy
1.0,94,2.5,80.0,Overcast,991.0,4,Winter,1.0,Mountain,Snowy
2.0,95,4.0,54.0,Overcast,982.37,0,Winter,3.0,Inland,Snowy
2.0,77,7.0,77.0,Partly cloudy,988.05,0,Winter,1.5,Mountain,Snowy
2.0,91,0.5,90.0,Overcast,987.3,1,Winter,4.0,Mountain,Snowy
3.0,67,15.0,96.0,Partly cloudy,984.37,0,Winter,5.0,Mountain,Snowy
2.0,97,11.5,77.0,Overcast,997.6,1,Winter,3.5,Inland,Snowy
2.0,66,0.5,55.0,Overcast,982.71,0,Winter,4.5,Inland,Snowy
3.0,91,3.0,60.0,Overcast,993.24,0,Winter,5.0,Inland,Snowy
2.0,63,17.0,96.0,Overcast,995.86,1,Winter,2.0,Inland,Snowy
2.0,88,17.5,93.0,Overcast,998.72,1,Winter,4.5,Inland,Snowy
2.0,69,9.0,57.0,Overcast,992.48,0,Winter,1.5,Inland,Snowy
3.0,91,7.0,98.0,Partly cloudy,996.67,1,Winter,5.5,Inland,Snowy
2.0,67,2.5,59.0,Overcast,981.44,0,Winter,2.0,Mountain,Snowy
3.0,95,6.0,65.0,Overcast,988.23,1,Winter,3.5,Mountain,Snowy
2.0,86,8.5,80.0,Overcast,986.25,0,Winter,4.0,Mountain,Snowy
2.0,88,14.0,96.0,Overcast,984.93,0,Winter,4.5,Mountain,Snowy
2.0,82,3.0,76.0,Overcast,995.82,1,Winter,1.0,Inland,Snowy
2.0,67,13.0,97.0,Partly cloudy,993.74,1,Winter,2.0,Mountain,Snowy
1.0,96,15.5,84.0,Overcast,995.14,0,Winter,1.5,Mountain,Snowy
2.0,73,18.5,87.0,Overcast,995.25,1,Winter,1.0,Mountain,Snowy
2.0,91,2.5,71.0,Overcast,985.01,4,Winter,1.0,Mountain,Snowy
3.0,98,9.0,82.0,Partly cloudy,998.41,0,Winter,2.5,Mountain,Snowy
3.0,70,11.0,88.0,Overcast,981.38,0,Winter,4.0,Inland,Snowy
2.0,70,18.0,79.0,Overcast,990.08,1,Winter,2.0,Inland,Snowy
1.0,83,1.5,67.0,Overcast,984.98,1,Winter,1.0,Mountain,Snowy
1.0,66,17.0,69.0,Overcast,991.77,0,Winter,2.0,Mountain,Snowy
1.0,93,17.5,108.0,Overcast,991.62,4,Winter,3.5,Inland,Snowy
2.0,77,8.5,81.0,Overcast,992.01,0,Winter,1.5,Inland,Snowy
2.0,80,10.5,99.0,Overcast,993.7,0,Winter,2.0,Inland,Snowy
1.0,77,5.0,55.0,Overcast,993.03,0,Winter,3.0,Inland,Snowy
3.0,63,17.0,68.0,Overcast,997.09,1,Winter,3.5,Mountain,Snowy
1.0,99,2.5,98.0,Partly cloudy,983.39,0,Winter,2.5,Inland,Snowy
1.0,72,4.5,88.0,Overcast,990.65,0,Winter,4.5,Inland,Snowy
3.0,93,17.0,92.0,Partly cloudy,998.54,0,Winter,1.5,Mountain,Snowy
2.0,81,17.5,58.0,Partly cloudy,982.65,1,Winter,5.0,Inland,Snowy
1.0,84,24.5,87.0,Overcast,981.54,3,Winter,2.0,Mountain,Snowy
2.0,72,2.5,71.0,Overcast,981.87,0,Winter,4.5,Mountain,Snowy
2.0,97,18.0,94.0,Overcast,989.09,1,Winter,3.5,Inland,Snowy
2.0,105,24.0,106.0,Partly cloudy,989.65,6,Winter,1.0,Inland,Snowy
1.0,72,15.5,83.0,Overcast,984.34,1,Winter,2.5,Inland,Snowy
1.0,89,7.5,72.0,Overcast,996.54,0,Winter,2.5,Mountain,Snowy
1.0,90,1.0,57.0,Overcast,990.66,0,Winter,3.5,Inland,Snowy
1.0,67,11.0,86.0,Overcast,983.55,0,Winter,3.5,Mountain,Snowy
1.0,73,2.5,93.0,Overcast,999.23,1,Winter,2.5,Mountain,Snowy
2.0,89,1.5,69.0,Overcast,994.98,0,Winter,3.5,Mountain,Snowy
2.0,75,11.0,50.0,Overcast,998.64,1,Winter,4.5,Inland,Snowy
1.0,80,8.5,99.0,Overcast,998.73,0,Winter,4.5,Inland,Snowy
2.0,66,1.0,53.0,Overcast,983.97,1,Winter,1.0,Mountain,Snowy
2.0,66,5.0,77.0,Partly cloudy,980.26,1,Winter,3.0,Mountain,Snowy
3.0,76,19.0,96.0,Overcast,982.05,1,Winter,3.0,Mountain,Snowy
3.0,76,14.0,57.0,Overcast,996.71,1,Winter,2.5,Inland,Snowy
3.0,73,14.0,79.0,Overcast,997.57,1,Winter,2.0,Inland,Snowy
3.0,78,8.0,63.0,Overcast,981.17,0,Winter,2.5,Mountain,Snowy
2.0,74,14.0,67.0,Partly cloudy,1013.77,8,Winter,12.5,Inland,Sunny
1.0,74,2.5,89.0,Partly cloudy,993.98,0,Winter,3.5,Mountain,Snowy
2.0,93,10.5,89.0,Partly cloudy,987.24,0,Winter,1.5,Mountain,Snowy
3.0,96,16.0,80.0,Overcast,995.24,1,Winter,4.0,Inland,Snowy
3.0,73,14.0,93.0,Overcast,989.23,1,Winter,3.5,Inland,Snowy
3.0,99,1.5,56.0,Overcast,998.52,0,Winter,2.5,Inland,Snowy
1.0,85,7.5,79.0,Overcast,981.76,1,Winter,4.5,Inland,Snowy
1.0,95,7.5,80.0,Overcast,994.31,1,Winter,3.5,Mountain,Snowy
2.0,74,5.0,67.0,Partly cloudy,987.9,0,Winter,3.5,Mountain,Snowy
3.0,92,2.5,61.0,Overcast,988.42,0,Winter,2.5,Inland,Snowy
1.0,77,18.0,92.0,Overcast,988.56,1,Winter,3.0,Mountain,Snowy
3.0,63,16.0,50.0,Overcast,988.02,0,Winter,4.5,Inland,Snowy
2.0,86,14.0,57.0,Partly cloudy,993.7,0,Winter,2.5,Mountain,Snowy
3.0,74,3.5,65.0,Overcast,981.58,1,Winter,3.5,Inland,Snowy
3.0,93,11.5,76.0,Overcast,996.57,1,Winter,4.0,Mountain,Snowy
2.0,91,2.5,51.0,Overcast,996.72,0,Winter,1.5,Mountain,Snowy
3.0,79,7.5,80.0,Overcast,993.59,0,Winter,4.5,Mountain,Snowy
2.0,68,3.0,68.0,Partly cloudy,993.19,0,Winter,3.0,Mountain,Snowy
1.0,91,14.0,52.0,Overcast,984.77,1,Winter,2.0,Inland,Snowy
3.0,65,19.5,78.0,Overcast,981.31,1,Winter,1.5,Mountain,Snowy
1.0,60,18.5,71.0,Partly cloudy,996.93,0,Winter,2.5,Inland,Snowy
1.0,96,9.0,95.0,Overcast,990.82,1,Winter,3.5,Mountain,Snowy
1.0,76,18.5,69.0,Overcast,998.52,0,Winter,4.0,Mountain,Snowy
3.0,95,10.0,67.0,Overcast,988.8,1,Winter,4.5,Mountain,Snowy
1.0,61,10.0,89.0,Overcast,988.69,0,Winter,3.0,Inland,Snowy
2.0,85,10.5,84.0,Overcast,999.56,1,Winter,4.0,Inland,Snowy
3.0,75,5.5,93.0,Overcast,994.31,0,Winter,2.0,Inland,Snowy
3.0,95,16.0,82.0,Overcast,992.28,1,Winter,2.0,Inland,Snowy
1.0,70,19.5,93.0,Overcast,995.39,0,Winter,3.5,Inland,Snowy
2.0,100,20.5,98.0,Overcast,998.24,5,Winter,0.5,Inland,Snowy
2.0,89,19.5,81.0,Overcast,983.93,2,Winter,1.5,Inland,Snowy
3.0,107,3.0,72.0,Overcast,993.7,12,Winter,2.5,Mountain,Snowy
1.0,92,3.5,95.0,Overcast,994.98,1,Winter,4.0,Inland,Snowy
3.0,67,18.5,93.0,Overcast,980.05,1,Winter,2.5,Inland,Snowy
2.0,96,10.0,50.0,Overcast,988.94,1,Winter,3.5,Mountain,Snowy
3.0,81,7.0,76.0,Overcast,995.79,1,Winter,2.5,Inland,Snowy
3.0,95,1.0,81.0,Partly cloudy,992.39,1,Winter,2.5,Mountain,Snowy
